,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
35,Amaretto Mist,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",Amaretto,Lime,,,,,,,,,,,,,,1 1/2 oz ,1 ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg
36,Amaretto Rose,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,Amaretto,Lime juice,Club soda,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg
37,Amaretto Shake,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,,2 scoops ,2 oz ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg
38,Amaretto Sour,Collins Glass,Shake and strain. Garnish with a cherry and an orange slice.,Amaretto,Sour mix,,,,,,,,,,,,,,1 1/2 oz ,3 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg
39,Amaretto Stinger,Cocktail glass,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",Amaretto,White Creme de Menthe,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg
40,Amaretto Sunrise,Collins Glass,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,,1 cl ,4 oz ,1/4 cl ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg
41,Amaretto Sunset,Collins Glass,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",Triple sec,Amaretto,Cider,Ice,,,,,,,,,,,,1/2 jigger ,3 shots ,1/2 cup ,Add 1/2 cup ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg
42,Amaretto Tea,Pousse cafe glass,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",Tea,Amaretto,Whipped cream,,,,,,,,,,,,,6 oz hot ,2 oz ,Chilled ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg
43,Americano,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,,,,1 oz ,1 oz red ,Twist of ,Twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg
44,Angel Face,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg
45,Applecar,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg
46,Apricot Lady,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg
47,Archbishop,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",Gin,Wine,Benedictine,Lime,,,,,,,,,,,,2 oz ,1 oz Green Ginger ,1 tsp ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4g6xds1582579703.jpg
48,Arise My Love,Champagne flute,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,Champagne,Green Creme de Menthe,,,,,,,,,,,,,,Chilled ,1 tsp ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg
49,Arthur Tompkins,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,,,,,,,2 oz ,1/2 oz ,2 tsp ,1 twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg
50,Artillery,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg
51,AT&T,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
52,Atlantic Sun,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg
53,Atomic Lokade,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,,5 oz ,1 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg
54,Autodafé,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg
55,Avalon,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
56,Bacardi Cocktail,Cocktail glass,Shake together with ice. Strain into glass and serve.,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,,,,,,,1 3/4 oz Bacardi ,1 oz ,1/2 tsp ,1 dash ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg
57,Balmoral,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
58,Banana Daiquiri,Champagne flute,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,,,,,,1 1/2 oz ,1 tblsp ,1 ,1 1/2 oz ,1 tsp ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg
59,Barracuda,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
60,Bellini,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
61,Bellini Martini,Cocktail glass,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,,,,,,8 cubes,3 oz ,1.5 oz ,1.5 oz ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg
62,Bermuda Highball,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg
63,Between The Sheets,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",Brandy,Light rum,Triple sec,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg
64,Black Russian,Old-fashioned glass,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,Coffee liqueur,Vodka,,,,,,,,,,,,,,3/4 oz ,1 1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg
65,Blackthorn,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1 twist of ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg
66,Bloody Maria,Old-fashioned glass,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,,,1 oz ,2 oz ,1 dash ,1 dash ,1 dash ,1 slice ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg
67,Bloody Mary,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish.",Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg
68,Blue Lagoon,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg
69,Blue Margarita,Cocktail glass,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,Coarse ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg
70,Blue Mountain,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes.",Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,1 tsp ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bih7ln1582485506.jpg
71,Bluebird,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg
72,Bobby Burns Cocktail,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,1 1/4 tsp ,1 twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg
73,Boomerang,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
74,Boston Sidecar,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Brandy,Triple sec,Lime,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,Juice of 1/2 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg
75,Boston Sour,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 ,1 slice ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg
76,Bourbon Sling,Highball glass,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,,,,,,1 tsp superfine ,2 tsp ,1 oz ,2 oz ,1 twist of ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg
77,Bourbon Sour,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg
